Day,Group,Family,variable,n,mean,sd
D05,Medium,Prevotellaceae,Abundance,6,0.862,0.828
D09,Control,Prevotellaceae,Abundance,6,0.737,0.662
D09,High,Prevotellaceae,Abundance,6,2.279,1.599
D09,Low,Prevotellaceae,Abundance,6,4.642,3.927
D09,Medium,Prevotellaceae,Abundance,6,2.665,2.442
D02,Control,Pseudomonadaceae,Abundance,6,0,0
D02,High,Pseudomonadaceae,Abundance,6,0,0
D02,Low,Pseudomonadaceae,Abundance,6,0,0
D02,Medium,Pseudomonadaceae,Abundance,6,0.001,0.001
D05,Control,Pseudomonadaceae,Abundance,6,0.001,0.002
D05,High,Pseudomonadaceae,Abundance,6,0,0.001
D05,Low,Pseudomonadaceae,Abundance,6,0,0.001
D05,Medium,Pseudomonadaceae,Abundance,6,0,0
D09,Control,Pseudomonadaceae,Abundance,6,0,0
D09,High,Pseudomonadaceae,Abundance,6,0.001,0.002
D09,Low,Pseudomonadaceae,Abundance,6,0,0
D09,Medium,Pseudomonadaceae,Abundance,6,0,0.001
D02,Control,Rikenellaceae,Abundance,6,2.337,0.724
D02,High,Rikenellaceae,Abundance,6,2.608,2.475
D02,Low,Rikenellaceae,Abundance,6,3.317,2.949
D02,Medium,Rikenellaceae,Abundance,6,2.904,1.25
D05,Control,Rikenellaceae,Abundance,6,2.562,1.68
D05,High,Rikenellaceae,Abundance,6,2.749,1.696
D05,Low,Rikenellaceae,Abundance,6,1.455,0.898
D05,Medium,Rikenellaceae,Abundance,6,2.734,2.424
D09,Control,Rikenellaceae,Abundance,6,2.101,1.832
D09,High,Rikenellaceae,Abundance,6,0.525,0.502
D09,Low,Rikenellaceae,Abundance,6,0.82,0.643
D09,Medium,Rikenellaceae,Abundance,6,0.481,0.603
D02,Control,Ruminococcaceae,Abundance,6,13.133,3.237
D02,High,Ruminococcaceae,Abundance,6,12.887,5.883
D02,Low,Ruminococcaceae,Abundance,6,9.939,2.397
D02,Medium,Ruminococcaceae,Abundance,6,12.084,5.73
D05,Control,Ruminococcaceae,Abundance,6,14.356,2.72
D05,High,Ruminococcaceae,Abundance,6,10.649,5.279
D05,Low,Ruminococcaceae,Abundance,6,9.415,2.194
D05,Medium,Ruminococcaceae,Abundance,6,11.905,5.757
D09,Control,Ruminococcaceae,Abundance,6,9.922,9.172
D09,High,Ruminococcaceae,Abundance,6,6.8,4.316
D09,Low,Ruminococcaceae,Abundance,6,7.05,3.975
D09,Medium,Ruminococcaceae,Abundance,6,6.814,3.474
D02,Control,Sphingomonadaceae,Abundance,6,0,0
D02,High,Sphingomonadaceae,Abundance,6,0,0
D02,Low,Sphingomonadaceae,Abundance,6,0,0.001
D02,Medium,Sphingomonadaceae,Abundance,6,0.001,0.002
D05,Control,Sphingomonadaceae,Abundance,6,0,0
D05,High,Sphingomonadaceae,Abundance,6,0.001,0.003
D05,Low,Sphingomonadaceae,Abundance,6,0.001,0.001
D05,Medium,Sphingomonadaceae,Abundance,6,0,0
D09,Control,Sphingomonadaceae,Abundance,6,0,0.001
D09,High,Sphingomonadaceae,Abundance,6,0,0
D09,Low,Sphingomonadaceae,Abundance,6,0,0
D09,Medium,Sphingomonadaceae,Abundance,6,0.003,0.007
D02,Control,Staphylococcaceae,Abundance,6,0.001,0.001
D02,High,Staphylococcaceae,Abundance,6,0.001,0.002
D02,Low,Staphylococcaceae,Abundance,6,0.002,0.003
D02,Medium,Staphylococcaceae,Abundance,6,0.007,0.016
D05,Control,Staphylococcaceae,Abundance,6,0.001,0.002
D05,High,Staphylococcaceae,Abundance,6,0.001,0.001
D05,Low,Staphylococcaceae,Abundance,6,0.002,0.002
D05,Medium,Staphylococcaceae,Abundance,6,0.002,0.003
D09,Control,Staphylococcaceae,Abundance,6,0,0.001
D09,High,Staphylococcaceae,Abundance,6,0,0
D09,Low,Staphylococcaceae,Abundance,6,0.001,0.002
D09,Medium,Staphylococcaceae,Abundance,6,0,0
D02,Control,Streptococcaceae,Abundance,6,0.011,0.01
D02,High,Streptococcaceae,Abundance,6,0.006,0.005
D02,Low,Streptococcaceae,Abundance,6,0.021,0.036
D02,Medium,Streptococcaceae,Abundance,6,0.03,0.045
D05,Control,Streptococcaceae,Abundance,6,0.009,0.013
D05,High,Streptococcaceae,Abundance,6,0.003,0.003
D05,Low,Streptococcaceae,Abundance,6,0.009,0.007
D05,Medium,Streptococcaceae,Abundance,6,0.01,0.006
D09,Control,Streptococcaceae,Abundance,6,0.03,0.043
D09,High,Streptococcaceae,Abundance,6,0.008,0.009
D09,Low,Streptococcaceae,Abundance,6,0.045,0.054
D09,Medium,Streptococcaceae,Abundance,6,0.016,0.01
D02,Control,Sutterellaceae,Abundance,6,0.012,0.006
D02,High,Sutterellaceae,Abundance,6,0.048,0.067
D02,Low,Sutterellaceae,Abundance,6,0.024,0.025
D02,Medium,Sutterellaceae,Abundance,6,0.008,0.006
D05,Control,Sutterellaceae,Abundance,6,0.014,0.014
D05,High,Sutterellaceae,Abundance,6,0.074,0.057
D05,Low,Sutterellaceae,Abundance,6,0.026,0.022
D05,Medium,Sutterellaceae,Abundance,6,0.022,0.019
D09,Control,Sutterellaceae,Abundance,6,0.025,0.043
D09,High,Sutterellaceae,Abundance,6,0.102,0.105
D09,Low,Sutterellaceae,Abundance,6,0.081,0.029
D09,Medium,Sutterellaceae,Abundance,6,0.083,0.084
